TYPE,X,Y
RTS,491874.09925806924,5459264.233579218
RTS,491275.249471692,5459241.212320809
RTS,491534.3671659058,5458993.733883159
RTS,492031.0829471541,5458526.5188898295
RTS,492681.68541240855,5457829.265187434
RTS,494972.4396124488,5456563.78970243
RTS,495933.76658092503,5455057.123543612
RTS,496656.2441860222,5454608.664404894
RTS,497684.69969309284,5453957.9264929155
RTS,497611.74039966625,5456444.940977526
RTS,496703.2351910417,5456237.314258498
RTS,495019.5180258282,5456688.0821898505
RTS,494255.2951148612,5457005.321806733
RTS,491757.5937181789,5459218.858339648
RTS,491324.5772445186,5458782.504862979
RTS,491133.70283139945,5457963.207288868
RTS,491619.2431024263,5457070.631951407
RTS,491648.7965766465,5456674.067711541
RTS,491606.1804328976,5455156.590573162
RTS,491552.23376907693,5453416.185679099
RTS,491530.3348801712,5452629.14824089
RTS,491473.1282269581,5450757.2447176855
PARK,488701.5170506803,5455235.172402956
PARK,487527.4538326959,5455990.555294029
PARK,488614.4757397239,5454636.587709815
PARK,487758.99486299354,5455008.176500123
PARK,487631.31542576506,5454997.344859638
PARK,489164.8588439592,5454556.879515398
PARK,488649.6300176391,5454247.9746993175
PARK,488219.2458379486,5455311.44595155
PARK,487983.00198826386,5454637.818729442
PARK,492326.64501061686,5458468.434932819
PARK,490677.6702944574,5459948.224424139
PARK,491717.8882742691,5458820.729393342
PARK,490909.28954538365,5459699.924757068
PARK,491714.73640222254,5457838.984382182
PARK,492513.3234826211,5457967.019672074
PARK,490969.37443284586,5457764.116964948
PARK,490209.2368670192,5460187.167743373
PARK,491204.30536118883,5459246.978459493
PARK,490980.9948859485,5458196.441245652
PARK,491134.1081800265,5459730.907773486
PARK,491303.65739019273,5458013.156661294
PARK,490453.0088424609,5459962.284148861
PARK,490395.1440983284,5458056.24628933
PARK,492393.4046586435,5458776.952493514
PARK,491334.05293885403,5459483.677894616
PARK,492554.69702690875,5459137.258985535
PARK,491154.43082110677,5457853.864553149
PARK,492418.915707354,5458553.686148775
PARK,491990.2057048279,5458835.222819009
PARK,492751.75808031595,5459065.179208111
PARK,487244.9702056106,5454701.178839618
PARK,486979.4131088031,5455882.877414091
PARK,486013.9217132361,5455164.526467965
PARK,486574.76553526666,5451738.638384949
PARK,486304.2356776667,5454522.786658919
PARK,486168.29547327163,5452967.296198478
PARK,486851.60503951716,5456054.050773666
PARK,487162.9803397541,5455528.4786412995
PARK,490964.35569310084,5457144.459518961
PARK,489638.7949216162,5456158.489250895
PARK,489993.9192670147,5457178.267499056
PARK,490191.24172528693,5457354.340084288
PARK,491121.7704368186,5456907.743222337
PARK,494622.2603135308,5457359.673754641
PARK,495434.2400610791,5459335.443676164
PARK,495708.2422849135,5457268.115240296
PARK,494874.0014881709,5457863.814348785
PARK,495843.8242478987,5459548.010970027
PARK,495154.62258288363,5457021.443035271
PARK,494608.3302147814,5457843.168310149
PARK,495474.983770533,5459270.8197139455
PARK,495778.50799452444,5458866.027650126
PARK,495059.35986231675,5458283.869809666
PARK,495734.43163971073,5458393.141345108
PARK,495676.2852956505,5459647.415826728
PARK,495145.8024740727,5457661.570736876
PARK,494693.78925282456,5456699.251559672
PARK,494662.2839162847,5458421.536758022
PARK,498122.58616060397,5458180.805485968
PARK,498230.44804397493,5459966.394604813
PARK,496326.9424623932,5459835.0437015565
PARK,496701.0889918501,5459274.616345717
PARK,497987.9018096248,5457850.231790517
PARK,496297.237453902,5457511.817660262
PARK,496535.69503853365,5459930.5151635725
PARK,497107.1580881499,5458834.373699856
PARK,497171.9391752117,5458654.354588589
PARK,496652.3958190592,5456816.107621083
PARK,497244.90747385996,5459708.772594381
PARK,497717.003757488,5457652.676344413
PARK,497451.011645706,5457095.050871732
PARK,497922.8970841849,5457341.317338404
PARK,495163.0257505059,5454993.578202351
PARK,494426.23076190165,5456451.939589276
PARK,494731.4320480964,5456044.199521152
PARK,495740.93049280526,5454666.483034021
PARK,493972.44260402344,5455203.864258034
PARK,493814.8465424594,5454265.76323434
PARK,495470.82318289333,5455895.240113037
PARK,495118.9281532334,5453687.369499
PARK,494518.12860816665,5453969.528260776
PARK,494565.2692293447,5454972.346569789
PARK,494123.79726588645,5455798.239074886
PARK,488702.6832876443,5451545.098357087
PARK,488098.1590153469,5453464.83269216
PARK,489011.57699296396,5450580.076180853
PARK,488494.3771384343,5453380.279512291
PARK,487125.286181873,5453257.131605412
PARK,488340.23270244227,5452336.605193341
PARK,488047.9436464821,5452700.757687509
PARK,487616.02714959567,5452016.904072267
PARK,497544.98122065986,5451815.323712555
PARK,497629.8645048747,5451415.854609511
PARK,497354.6296355383,5450911.0484222425
PARK,496513.64225834294,5451052.256664625
PARK,496786.9791728315,5452802.677412616
PARK,497368.501944205,5450524.6172018815
PARK,497904.4645376771,5451915.672517132
PARK,486572.7357477081,5456488.512817337
PARK,488356.89156105206,5456596.952770245
PARK,488910.6273938641,5457016.256598081
PARK,488906.4383768792,5458077.391144766
PARK,486947.41213458887,5457699.263461446
PARK,488805.04246947356,5457863.926028242
PARK,487818.84970650316,5457716.830453153
PARK,486924.6470455857,5457272.420790616
PARK,487184.70807173837,5457670.356801962
PARK,487915.4279038639,5457771.535868398
PARK,488024.0675758278,5457854.23179122
PARK,489381.7688292393,5457654.114524124
PARK,487661.58403094497,5457492.504449023
PARK,489587.19079863164,5458264.60592454
PARK,487688.5990863549,5457666.648842381
PARK,491301.1136288871,5450874.144334677
PARK,490586.1324861556,5450421.74725338
PARK,489925.56332584645,5450310.633629933
PARK,490654.98337472405,5451419.93327342
PARK,489268.9008858266,5451060.1557915555
PARK,489620.11150722124,5451417.338542383
PARK,489603.4369952341,5450453.528794366
PARK,491696.0261409309,5451410.929053205
PARK,493935.60344807786,5456907.590348775
PARK,494226.4497329608,5456538.19150407
PARK,493027.3582175763,5456804.610929871
PARK,492129.8359319793,5456846.843622687
PARK,492197.5001007397,5456540.5835760115
PARK,492232.7906786186,5456026.926091259
PARK,493320.44239605125,5456166.573570492
PARK,492825.7029889095,5456040.684456306
PARK,491408.378390045,5452076.164914642
PARK,491847.6764974389,5453199.424586166
PARK,491836.39450019144,5452071.067314614
PARK,490479.0836440126,5453176.051261393
PARK,491285.33456847747,5452778.28455347
PARK,496266.8766902837,5455865.51590513
PARK,497904.3964715785,5454606.870125123
PARK,497783.5476332792,5454359.008407692
PARK,497314.81966201164,5453810.482364783
PARK,496527.2926858042,5453411.822946954
PARK,497698.3317434448,5455969.119863584
PARK,497907.6782190523,5453474.492306924
PARK,497736.4763391284,5453704.792710301
PARK,497875.8860780335,5453717.966383035
PARK,496283.0291594677,5453814.639592515
PARK,492899.93250197207,5455427.0390828
PARK,496878.345637322,5455485.266505178
PARK,496789.60511379957,5454933.580251792
PARK,496537.3413689659,5454572.986358469
PARK,492904.55292622116,5453873.541456957
PARK,492577.24842555495,5455692.272521103
PARK,492109.0328513541,5454667.933973533
PARK,492235.20424420526,5454436.409456886
PARK,492929.7567671945,5455388.68029406
PARK,491845.5933033102,5454250.762735779
PARK,492403.8212741037,5454362.134922997
PARK,489534.5153269303,5455694.771848183
PARK,490273.2716141983,5454702.666097922
PARK,488885.83363684604,5453671.964385996
PARK,490171.4607797115,5455891.814452542
PARK,490442.9667022357,5454053.245898656
PARK,491002.3014355477,5454989.913155832
PARK,491105.4326285504,5455532.0344997905
PARK,491187.4873409574,5455784.481676681
PARK,493570.66284190456,5458457.39007973
PARK,493140.827679762,5458881.136859812
PARK,493840.9328240082,5458061.090532338
PARK,493636.684273377,5458251.091513902
PARK,492783.26535248064,5457914.51973726
PARK,493137.3094126047,5451095.11410635
PARK,492836.2290218522,5453000.945880127
PARK,493801.6286113673,5453127.953707263
PARK,493720.98960017134,5451427.259781474
PARK,494002.88421289506,5451613.043642269
PARK,492942.9577013216,5452201.830815416
PARK,495804.0682316187,5451366.69370969
PARK,495078.961182907,5451403.201247241
PARK,495856.5802201036,5450305.764585478
PARK,494867.2070242344,5452290.750034109
PARK,495392.8592176134,5451769.789311921
PARK,495812.92948933755,5452772.871186947
PARK,496667.548216013,5450351.794633213
PARK,494914.8265666769,5452999.079345655
PARK,489656.5217618236,5459199.534695997
PARK,490388.6735239843,5459389.420133448
PARK,489577.8206965258,5459384.005096346
PARK,489676.98422700237,5459446.296167618
PARK,490577.57868725667,5458908.278267686
PARK,497027.5304177887,5451440.492694125
PARK,489841.0213435409,5458726.824772473
PARK,488548.7070578188,5456573.760184099
PARK,491880.98624800605,5452484.7753675515
PARK,493515.9717162871,5456795.119707777
PARK,490891.634626979,5449943.983452164
PARK,486419.826172055,5457798.037930443
PARK,485639.2227917182,5457658.055239413
PARK,484921.76947729924,5457826.954580798
PARK,484222.92037134944,5458278.936722416
PARK,485135.94131276093,5457079.96825317
PARK,484402.09877642203,5457699.11166957
PARK,490621.77670507884,5456976.831652866
PARK,490593.5811171815,5457761.634075615
PARK,490843.0389970465,5453970.7448100345
PARK,485350.3319318524,5456092.416904267
PARK,488727.87054874294,5456624.751076258
PARK,498001.982180266,5453554.388375301
PARK,490174.4990350391,5457429.8549217535
PARK,490324.0693735524,5450305.584162023
PARK,491350.16368378367,5458260.771934012
PARK,493395.75193650863,5457074.96775542
PARK,491959.26972433605,5457573.590412746
PARK,491940.7199555799,5457722.697494925
PARK,490102.6320814606,5449737.789983701
PARK,493226.8380057829,5458032.797038242
PARK,497310.69171118195,5459510.188830541
PARK,493451.105909675,5456027.342366678
COMMUNITYCENTER,494631.92731802026,5458096.2808161955
COMMUNITYCENTER,492719.72481414414,5458709.919354676
COMMUNITYCENTER,491147.3607724813,5457845.0934363315
COMMUNITYCENTER,490844.97560592886,5459724.377984086
COMMUNITYCENTER,490714.44146938,5451308.9965853235
COMMUNITYCENTER,492709.9766005377,5456842.264471848
COMMUNITYCENTER,496870.79441415425,5455515.3979089
COMMUNITYCENTER,492146.51378602785,5454564.047429137
COMMUNITYCENTER,493345.0279950743,5458564.604851088
COMMUNITYCENTER,492674.7534441576,5452239.867426226
COMMUNITYCENTER,497664.5401494975,5456760.110819347
COMMUNITYCENTER,495233.6987072579,5455838.965885122
COMMUNITYCENTER,490103.20607147174,5459692.312218287
COMMUNITYCENTER,485123.9174335469,5457691.331021906
COMMUNITYCENTER,490251.87226979993,5457413.041634558
COMMUNITYCENTER,497662.2191091065,5451290.552838567
COMMUNITYCENTER,493883.3555579782,5458664.033354173
COMMUNITYCENTER,491172.8193572105,5455577.172357737
COMMUNITYCENTER,486294.33684854856,5454464.335578525
COMMUNITYCENTER,497141.69840140856,5458683.608124305
COMMUNITYCENTER,494504.15485522285,5453971.987929359
COMMUNITYCENTER,488563.05253621866,5453391.920509044
COMMUNITYCENTER,496767.28197609104,5452736.209459471
COMMUNITYCENTER,488351.45212631236,5456605.190920386
COMMUNITYCENTER,492318.2656263235,5457676.5772193745
COMMUNITYCENTER,492938.3146802078,5459020.912723871
COMMUNITYCENTER,491017.27965401014,5458367.807348354
GARDEN,489058.80407097697,5457108.264997305
GARDEN,489229.4659335206,5457071.775462408
GARDEN,489715.5863596398,5457082.840472824
GARDEN,491595.0384070427,5456542.938393225
GARDEN,494336.4457174365,5456593.995900066
GARDEN,489044.71439813636,5451933.724637052
GARDEN,489559.9470739806,5457063.000629277
GARDEN,495310.10116302397,5455390.272791815
